date,meantemp,humidity
01-01-2017,10,84.5
02-01-2017,7.4,92
03-01-2017,7.166666667,87
04-01-2017,8.666666667,71.33333333
05-01-2017,6,86.83333333
06-01-2017,7,82.8
07-01-2017,7,78.6
08-01-2017,8.857142857,63.71428571
09-01-2017,14,51.25
10-01-2017,11,62
11-01-2017,15.71428571,51.28571429
12-01-2017,14,74
13-01-2017,15.83333333,75.16666667
14-01-2017,12.83333333,88.16666667
15-01-2017,14.71428571,71.85714286
16-01-2017,13.83333333,86.66666667
17-01-2017,16.5,80.83333333
18-01-2017,13.83333333,92.16666667
19-01-2017,12.5,76.66666667
20-01-2017,11.28571429,75.28571429
21-01-2017,11.2,77
22-01-2017,9.5,79.66666667
23-01-2017,14,60.16666667
24-01-2017,13.83333333,60.66666667
25-01-2017,12.25,67
26-01-2017,12.66666667,64.16666667
27-01-2017,12.85714286,65.57142857
28-01-2017,14.83333333,56
29-01-2017,14.125,65.5
30-01-2017,14.71428571,70.42857143
31-01-2017,16.2,65.6
01-02-2017,16,73
02-02-2017,16.28571429,77.57142857
03-02-2017,18,65.57142857
04-02-2017,17.42857143,74.28571429
05-02-2017,16.625,92.375
06-02-2017,16.66666667,71.33333333
07-02-2017,15.6,59.4
08-02-2017,14,70.42857143
09-02-2017,15.42857143,61.28571429
10-02-2017,15.25,71.5
11-02-2017,15.875,70.5
12-02-2017,15.33333333,70.33333333
13-02-2017,16.28571429,70.14285714
14-02-2017,17.33333333,63.83333333
15-02-2017,19.16666667,65.33333333
16-02-2017,14.42857143,92.71428571
17-02-2017,13.66666667,90
18-02-2017,15.6,78.4
19-02-2017,15.85714286,82
20-02-2017,17.71428571,74.71428571
21-02-2017,20,67.28571429
22-02-2017,20.5,65.625
23-02-2017,17.42857143,74.85714286
24-02-2017,16.85714286,78.85714286
25-02-2017,16.875,72.875
26-02-2017,17.85714286,70
27-02-2017,20.8,57.2
28-02-2017,19.42857143,52.85714286
01-03-2017,17.33333333,49.33333333
02-03-2017,19,54
03-03-2017,19.33333333,62.83333333
04-03-2017,17.6,71
05-03-2017,20.875,61.875
06-03-2017,20.85714286,65.28571429
07-03-2017,23.42857143,57.14285714
08-03-2017,24.16666667,44.83333333
09-03-2017,25.42857143,49.71428571
10-03-2017,23.14285714,57.57142857
11-03-2017,24,66.33333333
12-03-2017,23.5,62.5
13-03-2017,21.5,70.5
14-03-2017,22.33333333,61.16666667
15-03-2017,24.16666667,45.83333333
16-03-2017,20.33333333,67.66666667
17-03-2017,22.66666667,58.66666667
18-03-2017,23.42857143,58.14285714
19-03-2017,22.5,73.66666667
20-03-2017,29.16666667,36.33333333
21-03-2017,23.83333333,58.5
22-03-2017,25.25,50.25
23-03-2017,27.375,50.125
24-03-2017,27,48.75
25-03-2017,23.5,45.5
26-03-2017,24.14285714,44.57142857
27-03-2017,21,62
28-03-2017,22.42857143,62.71428571
29-03-2017,21.25,70.375
30-03-2017,23.5,54.75
31-03-2017,23.2,58
01-04-2017,25.375,45.5
02-04-2017,25.16666667,51
03-04-2017,26.2,45.6
04-04-2017,24.6,41.8
05-04-2017,25.6,31
06-04-2017,25.85714286,29.85714286
07-04-2017,29.14285714,23.28571429
08-04-2017,28.71428571,33.85714286
09-04-2017,30.16666667,30.5
10-04-2017,30,28
11-04-2017,30,24.2
12-04-2017,28.85714286,32.57142857
13-04-2017,30.2,29.2
14-04-2017,28.25,39.375
15-04-2017,28.25,41.375
16-04-2017,32.125,24.625
17-04-2017,29.2,24.2
18-04-2017,30.28571429,30.28571429
19-04-2017,28.28571429,31.28571429
20-04-2017,30.625,29
21-04-2017,27.66666667,38.66666667
22-04-2017,27.375,45.375
23-04-2017,28.625,44.125
24-04-2017,30.28571429,41.71428571
25-04-2017,31.14285714,38.28571429
26-04-2017,29.875,45.875
27-04-2017,31.14285714,31.42857143
28-04-2017,30.57142857,28
29-04-2017,32.125,26.375
30-04-2017,31.14285714,32
01-05-2017,31.85714286,15.85714286
02-05-2017,29.83333333,22.16666667
03-05-2017,28.57142857,31.57142857
04-05-2017,32.85714286,31.42857143
05-05-2017,32.625,31.125
06-05-2017,32.75,39.25
07-05-2017,32.875,33.25
08-05-2017,34.5,23
09-05-2017,34.28571429,26
10-05-2017,34,27.71428571
11-05-2017,30.75,30.375
12-05-2017,29.85714286,40.14285714
13-05-2017,31.71428571,34
14-05-2017,32.28571429,34.28571429
15-05-2017,33,33
16-05-2017,33,34.75
17-05-2017,32.83333333,28.16666667
18-05-2017,31.4,42.2
19-05-2017,35.33333333,22.33333333
20-05-2017,36.4,24.2
21-05-2017,36,19
22-05-2017,36.75,22.125
23-05-2017,37.5,23.33333333
24-05-2017,38.42857143,27.42857143
25-05-2017,38.71428571,22.42857143
26-05-2017,37.8,21.2
27-05-2017,35.85714286,31.57142857
28-05-2017,35.33333333,29
29-05-2017,34.14285714,27.85714286
30-05-2017,32.2,28.2
31-05-2017,33.625,40.125
01-06-2017,32,54
02-06-2017,32.4,56.6
03-06-2017,35.6,47
04-06-2017,35.85714286,42.57142857
